name,year,stars,abstract
Memorias de un asesino,(2003),8.1,"En una pequeña provincia coreana en 1986, dos detectives luchan con el caso de múltiples mujeres jóvenes que se encuentran violadas y asesinadas por un culpable desconocido."
Ahgiwa na,(2008),6.6,"Un estudiante de la escuela secundaria rebelde ve su vida, tome un giro extraño cuando va a la tienda de comestibles y alguien deja a un bebé en su carrito de compras, junto con una nota que dice que es el Padre."
Los senderos de la vida,(2008),7,"En Seúl, Corea, dos hermanas deben cuidarse entre sí cuando su madre los deja para buscar a su padre alejado."
Gosa,(2008),5.6,Los estudiantes avanzados que toman una clase especial están siendo torturados por su clasificación de clase.
Shin-gi-jeon,(2008),6.1,"Una historia histórica y épica de la creación de Singijeon de Corea, una variación de la flecha de fuego chino."
The Coffin,(2008),4.2,"Siguiendo la costumbre tailandesa para hacer trampa y deshacerse de la mala suerte, un hombre que se encuentra en un ataúd para una noche posteriormente experimenta una serie de incidentes aterradores."
Sueño,(2008),6.6,"A raíz de un accidente automovilístico, un hombre descubre que sus sueños están atados a un sueño de un extraño."
Ssang-hwa-jeom,(2008),7.1,Un drama histórico ubicado en la dinastía Koryo y se centró en la relación entre un rey y su guardaespaldas.
Tokyo!,(2008),7.1,Un tríptico cinematográfico de tres historias de tokio.
"El bueno, el malo, el loco",(2008),7.3,"La historia de dos proscritos y un cazarrecompensas en la década de 1940, Manchuria y su rivalidad para poseer un mapa del tesoro, mientras que el ejército japonés y los bandidos chinos."
Chugyeokja,(2008),7.8,Un ex policía deshonrado que dirige un pequeño anillo de prostitutas se encuentra en una carrera contra el tiempo cuando falta una de sus mujeres.
Garoojigi,(2008),5.4,Un cuento de la libido legendaria.
Mu-rim-yeo-dae-saeng,(2008),6.2,Un hermoso prodigio de artes marciales se convierte en un guerrero despiadado para proteger al mundo contra el hechizo malvado.
Mi-in-do,(2008),6.3,"Nacido a una familia de pintores de la corte establecidos, una mujer se ve obligada a continuar con su nombre de familia y asumir la vida de su hermano después de que se suicida."
Syoo-peo-maen-i-sseo-deon sa-na-i,(2008),7.3,Un productor snobish hace un documental sobre el comportamiento extraordinario de su vecino que se cree que es Superman.
Seoyang-goldong-yanggwajajeom Aentikeu,(2008),7,"Jin-Hyeok abre una pastelería en una antigua tienda de antigüedades, contratando a Seon-Woo, el mejor chef de pastelería de Corea, que se enamoró de él en la escuela secundaria.También, hay su-jóvenes, aplastando en Seon-Woo, ex boxer Ki-Beom y el ex novio francés de Seon-Woo."
Keurosing,(2008),7.6,Acerca de un niño en Corea del Norte que quiere encontrar a su padre que se ve obligado a convertirse en un refugiado en Corea del Sur.
Babo,(2008),7.4,Un hombre mentalmente desafiado tratando de mantener vivo el único deseo de su madre a cualquier costo mientras intenta reconciliarse con su primer y único enamoramiento real.
A-leum-dab-da,(2008),6.6,"Eun-Young es una mujer maldita con gran belleza.Donde quiera que ella vaya, ella recibe admiración no deseada de hombres y celos de mujeres.Un día, uno de su admirador acechando invade su lugar."
Bam gua nat,(2008),7.1,"En el verano de 2007, un pintor en sus cuarenta viaja a París para escapar de arresto por fumar marihuana, dejando atrás a su esposa en Corea.Mientras que allí se encuentra con una ex novia y se le presentan a una pequeña comunidad de artistas coreanos."
Misseu Hongdangmu,(2008),6.3,Un maestro de secundaria incómodo y impopular intenta evitar que dos de sus colegas se enamoren.
Himalayaeui sonyowa,(2008),6.4,"Un ejecutivo coreano se aventura en los Himalayas para visitar a una familia en un pequeño pueblo de montaña, donde el tiempo parece haberse quedado quieto durante 100 años."
Woetoli,(2008),5.2,Un estudiante se convierte en un recluso en respuesta al suicidio de su mejor amigo y se bloquea en su habitación.Ella cree que alguien está en la habitación con ella.Su familia alarmada contrata a un psicólogo para intervenir.
Noon-e-neun noon i-e-neun i,(2008),6,"El cerebro tortuoso detrás de un Heist atrae a un alto detective de la policía, en la víspera de su retiro, en una elaborada parcela de robo y venganza."
Romaentik Aillaendeu,(2008),6.2,"Tres parejas coreanas viajan por separado a los phillipines.Una pareja de mediana edad por primera vez en el extranjero, un empleado de la tienda de conveniencia se divide en una estrella pop de incógnita y la fugitiva Soo-Jin se encuentra con un hombre de negocios que está allí por la muerte de su padre."
Gukga daepyo,(2009),6.9,Cinco hombres van por el oro como miembros del equipo nacional de ski de Corea.
Bool-kkott-cheo-reom na-bi-cheo-reom,(2009),6.2,Una dinastía Joseon Bounty Hunter se convierte en la guardia del cuerpo de la reina que ama en secreto.
Higanjima,(2009),5.3,"Higanjima es una isla eerie ocupada por los vampiros, desde donde nadie ha vuelto vivo.Cuando el adolescente Akira escucha que su hermano desaparecido ha sido visto en la isla, decide investigar con varios amigos."
Fei Chang Wan Mei,(2009),5.9,"Dos ex amantes trabajan juntos para recuperar sus amores perdidos, pero no todo va de acuerdo al plan."
Yeo-haeng-ja,(2009),7.4,"Inspirado por su infancia, el cineasta francés-coreano Ounie Lecomte relata el viaje emocional de una niña abandonada por su padre en un orfanato."
Chilgeup gongmuwon,(2009),6.3,"Debido a su continuo mentiroso, un hombre se rompe con su novia, desconoce que es un agente secreto.Unos años más tarde, se reúnen de nuevo sin saber que esta vez ambos tienen secretos."
Haeundae,(2009),5.6,"Una mujer llamada Yeon-hee (ha ji-won) vive en Busan con su novio Man-Sik (Sol Kyung-Gu) cerca de Haeundae Beach.Pero, cuando descubren que un tsunami golpeará la ciudad, se dan cuenta de que solo tienen 10 minutos para escapar!"
Jeon Woochi: El mago taoísta,(2009),6.6,"Jeon Woo-Chi, un taoísta de mujeris indisciplinado de la era de Joseon, termina en la actual Corea, lo que causa caos con su Knack for Magic."
Madre,(2009),7.8,Una madre busca desesperadamente al asesino que enmarcó a su hijo por el horrible asesinato de una niña.
Náufrago en la luna,(2009),8,Un intento de suicidio fallido lleva a un hombre con la piel para vivir una vida en el desierto.
Jageun yeonmot,(2009),6.6,"Durante la Guerra de Corea, la pequeña aldea de montaña es evacuada como retirada del enfoque de GIS estadounidense."
Ogamdo,(2009),5.1,Cinco cuentos surtidos de amor en la corea moderna.
Chawu,(2009),5.6,Una comedia negra sobre los eventos que se pone en marcha en una ciudad después de que un jabalí que come el hombre va a un alboroto.
10-eok,(2009),5.5,Ocho jóvenes tratan de sobrevivir a un programa de juegos mortal para el premio de un millón de dólares.
Paju,(2009),6.5,"Tan cerca de querer pero prohibido amar, una niña se enamora del marido de su hermana."
Kilme,(2009),6.4,"También se llama besame, mátame una vida de un contrato que el asesino se complica cuando no cumple con su objetivo, una niña que quiere morir debido a una mala ruptura."
Bulshinjiok,(2009),6.2,"Después de la hermana menor de Hee-Jin, así que Jin, que está poseído por un espíritu, desaparece, se revela los vecinos de uno por uno y un secreto subyacente a sus muertes."
Tokkiwa rijeodeu,(2009),6.2,Dos extraños vagan en una crónica del pasado y las antiguas heridas.
Ho woo shi jul,(2009),6.5,Un arquitecto de viaje se encuentra con un viejo amigo de sus años de estudiante;El par se da cuenta de que su conexión siempre ha sido una romántica.
Kichin,(2009),5.9,"Mo-Rae lucha por seguir siendo leal a su esposo mientras vivía con un extraño guapo y emocionante.Su esposo es su mejor amigo de la infancia, pero el extraño seductor es imaginativo y aventurero.¿A quién elegirá ella?"
Cheon-gook-eui woo-pyeon-bae-dal-boo,(2009),6.7,"Jaejon, ¿no es su cartero común, él entrega cartas al cielo de aquellos que faltan sus seres queridos?"
Chameul soo eoptneun,(2009),6.7,"La película examina los asuntos de trabajo y amor.Una pareja pegada en un matrimonio aburrido, ambos caen en asuntos con la novia de la esposa y el colega del marido."
Bakjwi,(2009),7.1,"A través de un experimento médico fallido, un sacerdote está afectado con el vampirismo y se ve obligado a abandonar sus formas ascéticas."
4-kyo-si Choo-ri-yeong-yeok,(2009),6,"Los chicos de la escuela secundaria deben encontrar al asesino de su compañero de clase antes de que comience la próxima clase, en 40 minutos."
Seulpeumboda deo seulpeun iyagi,(2009),7.6,"""K"" ama la crema, pero tiene cáncer terminal, así que mantiene su amor por su secreto y trata de encontrar a un compañero para ella antes de que muera para que no esté sola después de que muera."
Goo-reu-meul beo-eo-nan dal-cheo-reom,(2010),5.9,"Durante un momento turbulento cuando la política, la rebelión y la invasión llegan a la cabeza.Un choque se agita entre dos espadachinas en una lucha violenta para tomar el control del país que aman."
Cho-neung-ryeok-ja,(2010),6.2,Cho-in puede controlar las mentes de otras personas cuando están dentro de su campo de la vista. Excepto un hombre.
Bang-ja jeon,(2010),6.4,"Un sirviente se enamora de una chica a quien su maestro también desea.Aunque la niña ama al sirviente, también anhela mejorar su estación en la vida."
Bimilae,(2010),5.9,"Cuando su esposo se deja comatoso después de un accidente, una joven novia angustiada desarrolla una atracción para el gemelo idéntico de su cónyuge."
Boo-dang-geo-rae,(2010),6.7,"Cuando el sospechoso de asesino en serie más probable muere y el caso parece que se llega a un callejón sin salida, el latón de la policía decide crear un asesino, y cualquiera lo hará."
Man-choo,(2010),6.7,"Una esposa adúltera, en prisión por matar a su marido, aprende que su madre ha fallecido en Seattle.Los funcionarios le otorgan un permiso de 3 días para asistir a su funeral, cuando en el autobús se encuentra con un hombre que no tiene suficiente dinero para su tarifa."
Airiseu: Deo mubi,(2010),6.1,"El servicio de seguridad nacional de Corea del Sur normalmente se ocupa de Corea del Norte, pero ahora los NSS deben tratar con los terroristas de Iris con un Nuke."
Reunión secreta,(2010),6.9,"Un agente del sur de Corea del Fuego y un espía desierto de Corea del Norte por casualidad después de seis años y comenzar una asociación comercial, cada uno con la intención de robar información del otro."
Poesía para el alma,(2010),7.8,"Una mujer sesenta y algo, enfrentada al descubrimiento de un crimen familiar atroz y en las primeras etapas de la enfermedad de Alzheimer, encuentra fuerza y propósito cuando se inscribe en una clase de poesía."
71: Entre las llamas,(2010),7.3,La historia de los estudiantes-soldados que intentan proteger una escuela secundaria durante los primeros días de la Guerra de Corea.
Yongseoneun eupda,(2010),7.5,"A pesar de estar casi probado en el asesino, un asesino en serie amenaza con matar a la hija de un patólogo forense si no lo saca rescatado."
The Last Godfather,(2010),3.6,Un jefe de la mafia entrena a su hijo con discapacidad mentalmente como su sucesor.
Hanyo,(2010),6.4,El asunto de un hombre con la criada de su familia conduce a las oscuras consecuencias.
Endemoniada,(2010),7.3,"Una mujer sujeta a abuso mental, físico y sexual en una isla remota busca una salida."
